Sample,Leaf length(cm),Leaf width(cm),Stem diameter(cm),Internode length(cm),Leaf vein density(veins/cm²),Number of leaves per node,Output
1,8,3,0.5,4,9,2,0
2,13,3,0.6,3,10,3,0
3,8,4,0.5,3,9,3,0
4,11,4.5,0.4,3,11,2,0
5,13,3,0.6,4,8,2,0
6,12.5,4,0.8,4.5,9,2,0
7,8,3.3,0.4,3.3,12,2,0
8,11,4.5,0.3,4,9,3,0
9,12,5,0.5,2.5,11,1,0
10,10.5,3.1,0.6,4,10,2,0
11,9,4,0.7,3,10,2,0
12,9.7,4.2,0.5,4,9,3,0
13,6,5,0.6,4,11,2,0
14,8.3,3,0.6,4.5,10,3,0
15,12,3,0.5,3,9,3,0
16,11,4,0.4,3,10,2,0
17,11.6,4,0.7,2.8,12,3,0
18,10,3,0.6,4.5,11,1,0
19,7,3.2,0.5,3.5,12,2,0
20,12.6,3,0.4,3,9,2,0
21,9,4.6,0.6,4,11,2,0
22,10,5.4,0.7,3,10,3,0
23,11,4,0.8,2.5,9,2,0
24,9.8,3,0.5,3,8,3,0
25,11.1,4,0.3,4,8,2,0
26,10.6,4,0.4,3,9,3,0
27,12,3.3,0.6,4,11,3,0
28,9,4.6,0.5,4,10,3,0
29,10,4,0.7,3.5,12,2,0
30,11,4.5,0.6,3,9,2,0
31,8,5,0.4,2.8,18,3,1
32,8.5,5.8,0.5,3.3,19,4,1
33,9,4.8,0.4,2.9,18,4,1
34,8,5.2,0.4,2.8,17,3,1
35,8,5,0.3,3.4,18,3,1
36,9,5,0.5,3.2,20,3,1
37,8.7,5,0.5,3.1,19,3,1
38,7.9,5.5,0.4,2.9,17,3,1
39,8,4.5,0.3,3,18,4,1
40,8,5.2,0.6,2.8,18,3,1
41,9,5,0.4,3.2,19,3,1
42,8.5,5.5,0.4,3.3,20,4,1
43,8,4.9,0.5,2.8,18,3,1
44,9,5,0.5,2.7,18,3,1
45,9,5.2,0.4,3.2,19,4,1
46,8.5,5.4,0.4,3.3,17,4,1
47,8.5,5,0.4,3,20,3,1
48,9,5.5,0.5,3.3,19,3,1
49,8,5,0.4,2.9,17,4,1
50,8,5.6,0.4,2.8,18,3,1
51,9,4.5,0.5,2.9,18,4,1
52,7.8,5,0.5,3.4,19,3,1
53,9,5,0.5,3.1,17,3,1
54,9,5,0.4,2.9,18,3,1
55,8,5,0.5,3.5,20,4,1
56,7.6,4.9,0.5,3.4,18,3,1
57,8.2,5,0.4,3.1,19,4,1
58,9,6,0.4,2.8,19,3,1
59,7.6,5,0.4,2.9,18,3,1
60,8,5,0.4,2.9,17,4,1
61,11.3,6.8,0.5,5,12,2,2
62,12,7,0.4,4.8,13,2,2
63,12.2,7,0.5,4.7,12,3,2
64,13.4,6.9,0.5,5.5,12,2,2
65,11.7,8,0.4,5.8,12,2,2
66,12.5,7.1,0.5,5.2,14,2,2
67,11.8,7.3,0.5,4.9,13,3,2
68,13.5,7.1,0.4,4.8,13,3,2
69,13.2,6.8,0.4,4.8,12,3,2
70,12.8,6.6,0.5,4.9,13,2,2
71,11.9,7.7,0.5,5.2,11,2,2
72,12.4,7,0.6,5,12,3,2
73,12,7.6,0.4,5.9,13,2,2
74,12,7.9,0.5,5,12,2,2
75,11.7,7.1,0.5,4.6,13,2,2
76,12.5,7.2,0.4,5,13,3,2
77,12.6,7.7,0.6,5.2,12,3,2
78,11.9,6.8,0.5,4.9,12,2,2
79,13,6.9,0.6,5.1,11,3,2
80,12.5,7,0.5,5.2,14,2,2
81,12.7,7.3,0.5,4.9,12,2,2
82,11.6,7.6,0.4,5.3,13,3,2
83,13.2,7.8,0.4,5.7,13,2,2
84,11.6,7.8,0.5,4.9,13,3,2
85,12.6,7,0.4,5.1,12,2,2
86,13,6.5,0.5,5,12,2,2
87,11.8,6.7,0.4,4.9,13,3,2
88,12.5,6.9,0.5,4.9,12,2,2
89,11.9,7,0.5,4.8,13,3,2
90,12.6,6.9,0.4,5,12,2,2
